mode,sample_fraction,run,gen,phenotype,phenotype_in_cache,hit,fitness_cached,fitness_full_train,fake_hit,fitness_diff
farthest_point,0.1,1,2,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],mul(x[5],x[7]))))","not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],mul(x[5],x[7]))))",True,0.2587719298245614,0.2241379310344827,True,-0.0346339987900786
farthest_point,0.1,1,3,"not_(greater_than_or_equal(mul(x[2],x[2]), x[7]))","not_(greater_than_or_equal(mul(x[2],x[2]), x[7]))",True,0.6842105263157895,0.6842105263157895,False,0.0
farthest_point,0.1,1,3,"greater_than_or_equal(mul(mul(x[2],x[7]),mul(x[5],mul(x[2],x[7]))), mul(x[3],x[2]))",,False,,0.706140350877193,False,0.0
farthest_point,0.1,1,3,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[2],x[2])))",,False,,0.4166666666666666,False,0.0
farthest_point,0.1,1,3,"not_(greater_than_or_equal(mul(x[2],x[3]), mul(x[3],mul(x[3],x[5]))))","not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],mul(x[5],x[7]))))",True,0.2587719298245614,0.2587719298245614,False,0.0
farthest_point,0.1,1,3,"not_(greater_than_or_equal(mul(x[7],x[7]), mul(x[3],x[2])))","not_(greater_than_or_equal(mul(x[7],x[7]), mul(x[3],x[2])))",True,0.2850877192982456,0.2850877192982456,False,0.0
farthest_point,0.1,1,3,"not_(greater_than_or_equal(x[7], x[7]))","less_than_or_equal(pdiv(add(x[2],x[2]),pdiv(x[3],x[7])),mul(mul(x[5],x[7]),mul(x[0],x[2])))",True,0.2982456140350877,0.2982456140350877,False,0.0
farthest_point,0.1,1,3,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],46.93)))",,False,,0.2894736842105263,False,0.0
farthest_point,0.1,1,3,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[2],x[7])))","less_than_or_equal(pdiv(add(x[2],x[2]),pdiv(x[3],x[7])),mul(mul(x[5],x[7]),mul(x[0],x[2])))",True,0.2982456140350877,0.2982456140350877,False,0.0
farthest_point,0.1,1,3,"less_than_or_equal(x[5],x[7])",,False,,0.5921052631578947,False,0.0
farthest_point,0.1,1,3,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],mul(pdiv(x[3],x[7]),sub(x[3],x[7])))))","not_(greater_than_or_equal(mul(x[7],x[7]), mul(x[3],x[2])))",True,0.2850877192982456,0.2763157894736842,True,-0.0087719298245614
farthest_point,0.1,1,3,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],x[7])))",,False,,0.2807017543859649,False,0.0
farthest_point,0.1,1,3,"not_(greater_than_or_equal(x[5], 30.94))","less_than_or_equal(mul(mul(x[7],x[0]),mul(x[2],x[7])),x[0])",True,0.7017543859649122,0.7017543859649122,False,0.0
farthest_point,0.1,1,3,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],mul(x[7],mul(x[3],x[2])))))","less_than_or_equal(pdiv(add(x[2],x[2]),pdiv(x[3],x[7])),mul(mul(x[5],x[7]),mul(x[0],x[2])))",True,0.2982456140350877,0.2982456140350877,False,0.0
farthest_point,0.1,1,3,"not_(greater_than_or_equal(mul(x[2],x[5]), x[7]))",,False,,0.7017543859649122,False,0.0
farthest_point,0.1,1,3,"not_(greater_than_or_equal(mul(x[0],x[7]), mul(x[0],x[2])))","not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[2],x[2])))",True,0.4166666666666666,0.4166666666666666,False,0.0
farthest_point,0.1,1,3,"not_(greater_than_or_equal(mul(x[7],x[7]), mul(x[3],x[2])))","not_(greater_than_or_equal(mul(x[7],x[7]), mul(x[3],x[2])))",True,0.2850877192982456,0.2850877192982456,False,0.0
farthest_point,0.1,1,3,"not_(greater_than_or_equal(mul(x[5],x[7]), mul(x[3],x[2])))",,False,,0.3157894736842105,False,0.0
farthest_point,0.1,1,3,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],mul(x[5],x[7]))))","not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],mul(x[5],x[7]))))",True,0.2587719298245614,0.2241379310344827,True,-0.0346339987900786
farthest_point,0.1,1,4,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],x[7])))","not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],x[7])))",True,0.2807017543859649,0.2807017543859649,False,0.0
farthest_point,0.1,1,4,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],mul(x[3],x[5]))))","not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],mul(x[3],x[5]))))",True,0.2719298245614034,0.2719298245614034,False,0.0
farthest_point,0.1,1,4,"greater_than_or_equal(mul(mul(x[2],x[7]),x[5]), mul(mul(x[3],x[7]),mul(x[3],mul(x[3],x[5]))))",,False,,0.7105263157894737,False,0.0
farthest_point,0.1,1,4,"not_(greater_than_or_equal(mul(x[2],x[3]), mul(x[5],x[7])))",,False,,0.5307017543859649,False,0.0
farthest_point,0.1,1,4,"not_(greater_than_or_equal(mul(x[0],mul(pdiv(x[3],x[7]),sub(x[3],x[7]))), x[7]))",,False,,0.7105263157894737,False,0.0
farthest_point,0.1,1,4,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[2],x[7])))","less_than_or_equal(pdiv(add(x[2],x[2]),pdiv(x[3],x[7])),mul(mul(x[5],x[7]),mul(x[0],x[2])))",True,0.2982456140350877,0.2982456140350877,False,0.0
